sku,collection,title_en,title_ar,etsy_title,tags_13,description,price_digital,price_poster,price_mug,price_tee
RL-FAM-005,Family Gift,Family First,العائلة أولاً,"Family First Printable Wall Art, Arabic Family Gift Digital Download, العائلة أولاً, Bilingual Arabic English Print","family first arabic, arabic word art, arabic gift, muslim family gift, bilingual print, arabic wall art, eid gift idea, printable art, digital download, arabic calligraphy, gift for parents","Family First — العائلة أولاً. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-FAM-006,Family Gift,Mum Is My World,أمي عالمي,"Mum Is My World Printable Wall Art, Arabic Family Gift Digital Download, أمي عالمي, Bilingual Arabic English Print","arabic word art, arabic gift, muslim family gift, bilingual print, arabic wall art, eid gift idea, printable art, digital download, arabic calligraphy, gift for parents","Mum Is My World — أمي عالمي. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-FAM-007,Family Gift,"Dad, My Pride",أبي فخري,"Dad, My Pride Printable Wall Art, Arabic Family Gift Digital Download, أبي فخري, Bilingual Arabic English Print","dad, my pride arabic, arabic word art, arabic gift, muslim family gift, bilingual print, arabic wall art, eid gift idea, printable art, digital download, arabic calligraphy, gift for parents","Dad, My Pride — أبي فخري. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-FAM-008,Family Gift,A Home Full of Love,بيت مليء بالحب,"A Home Full of Love Printable Wall Art, Arabic Family Gift Digital Download, بيت مليء بالحب, Bilingual Arabic English Print","arabic word art, arabic gift, muslim family gift, bilingual print, arabic wall art, eid gift idea, printable art, digital download, arabic calligraphy, gift for parents","A Home Full of Love — بيت مليء بالحب. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-FAM-009,Family Gift,Together at Heart,قلوبنا معاً,"Together at Heart Printable Wall Art, Arabic Family Gift Digital Download, قلوبنا معاً, Bilingual Arabic English Print","arabic word art, arabic gift, muslim family gift, bilingual print, arabic wall art, eid gift idea, printable art, digital download, arabic calligraphy, gift for parents","Together at Heart — قلوبنا معاً. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-FAM-010,Family Gift,Love Without End,حب لا ينتهي,"Love Without End Printable Wall Art, Arabic Family Gift Digital Download, حب لا ينتهي, Bilingual Arabic English Print","arabic word art, arabic gift, muslim family gift, bilingual print, arabic wall art, eid gift idea, printable art, digital download, arabic calligraphy, gift for parents","Love Without End — حب لا ينتهي. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-UAE-001,UAE Pride,United by Loyalty & Belonging,أهل الإمارات ولاء وانتماء,"United by Loyalty & Belonging Printable Wall Art, Arabic UAE Pride Digital Download, أهل الإمارات ولاء وانتماء, Bilingual Arabic English Pri","arabic word art, uae gift, emirati pride, national day gift, arabic wall art, bilingual print, printable art, digital download, arabic calligraphy, middle east decor","United by Loyalty & Belonging — أهل الإمارات ولاء وانتماء. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-UAE-002,UAE Pride,UAE in My Heart,الإمارات في القلب,"UAE in My Heart Printable Wall Art, Arabic UAE Pride Digital Download, الإمارات في القلب, Bilingual Arabic English Print","arabic word art, uae gift, emirati pride, national day gift, arabic wall art, bilingual print, printable art, digital download, arabic calligraphy, middle east decor","UAE in My Heart — الإمارات في القلب. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-UAE-003,UAE Pride,UAE Is Our Home,الإمارات بيتنا,"UAE Is Our Home Printable Wall Art, Arabic UAE Pride Digital Download, الإمارات بيتنا, Bilingual Arabic English Print","arabic word art, uae gift, emirati pride, national day gift, arabic wall art, bilingual print, printable art, digital download, arabic calligraphy, middle east decor","UAE Is Our Home — الإمارات بيتنا. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-UAE-004,UAE Pride,Proud of the UAE,نفخر بالإمارات,"Proud of the UAE Printable Wall Art, Arabic UAE Pride Digital Download, نفخر بالإمارات, Bilingual Arabic English Print","arabic word art, uae gift, emirati pride, national day gift, arabic wall art, bilingual print, printable art, digital download, arabic calligraphy, middle east decor","Proud of the UAE — نفخر بالإمارات. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-UAE-005,UAE Pride,The UAE Brings Us Together,الإمارات تجمعنا,"The UAE Brings Us Together Printable Wall Art, Arabic UAE Pride Digital Download, الإمارات تجمعنا, Bilingual Arabic English Print","arabic word art, uae gift, emirati pride, national day gift, arabic wall art, bilingual print, printable art, digital download, arabic calligraphy, middle east decor","The UAE Brings Us Together — الإمارات تجمعنا. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-UAE-006,UAE Pride,Nation of Ambition,وطن الطموح,"Nation of Ambition Printable Wall Art, Arabic UAE Pride Digital Download, وطن الطموح, Bilingual Arabic English Print","arabic word art, uae gift, emirati pride, national day gift, arabic wall art, bilingual print, printable art, digital download, arabic calligraphy, middle east decor","Nation of Ambition — وطن الطموح. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-UAE-007,UAE Pride,Building Tomorrow Together,هنا نبني المستقبل,"Building Tomorrow Together Printable Wall Art, Arabic UAE Pride Digital Download, هنا نبني المستقبل, Bilingual Arabic English Print","arabic word art, uae gift, emirati pride, national day gift, arabic wall art, bilingual print, printable art, digital download, arabic calligraphy, middle east decor","Building Tomorrow Together — هنا نبني المستقبل. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-UAE-008,UAE Pride,Home of Opportunity,بيت الفرص,"Home of Opportunity Printable Wall Art, Arabic UAE Pride Digital Download, بيت الفرص, Bilingual Arabic English Print","arabic word art, uae gift, emirati pride, national day gift, arabic wall art, bilingual print, printable art, digital download, arabic calligraphy, middle east decor","Home of Opportunity — بيت الفرص. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-CHI-001,Arabic Learning,Lion · Asad,أسد,"Lion · Asad Printable Wall Art, Arabic Arabic Learning Digital Download, أسد, Bilingual Arabic English Print","lion arabic, arabic word art, arabic for kids, nursery wall art, arabic learning, bilingual print, kids room decor, printable art, digital download, educational print, muslim kids gift","Lion · Asad — أسد. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",7,25,16,22
RL-CHI-002,Arabic Learning,Elephant · Feel,فيل,"Elephant · Feel Printable Wall Art, Arabic Arabic Learning Digital Download, فيل, Bilingual Arabic English Print","elephant arabic, arabic word art, arabic for kids, nursery wall art, arabic learning, bilingual print, kids room decor, printable art, digital download, educational print, muslim kids gift","Elephant · Feel — فيل. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",7,25,16,22
RL-CHI-003,Arabic Learning,Giraffe · Zarafa,زرافة,"Giraffe · Zarafa Printable Wall Art, Arabic Arabic Learning Digital Download, زرافة, Bilingual Arabic English Print","giraffe arabic, arabic word art, arabic for kids, nursery wall art, arabic learning, bilingual print, kids room decor, printable art, digital download, educational print, muslim kids gift","Giraffe · Zarafa — زرافة. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",7,25,16,22
RL-CHI-004,Arabic Learning,Sun · Shams,شمس,"Sun · Shams Printable Wall Art, Arabic Arabic Learning Digital Download, شمس, Bilingual Arabic English Print","sun arabic, arabic word art, arabic for kids, nursery wall art, arabic learning, bilingual print, kids room decor, printable art, digital download, educational print, muslim kids gift","Sun · Shams — شمس. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",7,25,16,22
RL-CHI-005,Arabic Learning,Moon · Qamar,قمر,"Moon · Qamar Printable Wall Art, Arabic Arabic Learning Digital Download, قمر, Bilingual Arabic English Print","moon arabic, arabic word art, arabic for kids, nursery wall art, arabic learning, bilingual print, kids room decor, printable art, digital download, educational print, muslim kids gift","Moon · Qamar — قمر. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",7,25,16,22
RL-CHI-006,Arabic Learning,Apple · Tuffaha,تفاحة,"Apple · Tuffaha Printable Wall Art, Arabic Arabic Learning Digital Download, تفاحة, Bilingual Arabic English Print","apple arabic, arabic word art, arabic for kids, nursery wall art, arabic learning, bilingual print, kids room decor, printable art, digital download, educational print, muslim kids gift","Apple · Tuffaha — تفاحة. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",7,25,16,22
RL-CHI-007,Arabic Learning,Book · Kitab,كتاب,"Book · Kitab Printable Wall Art, Arabic Arabic Learning Digital Download, كتاب, Bilingual Arabic English Print","book arabic, arabic word art, arabic for kids, nursery wall art, arabic learning, bilingual print, kids room decor, printable art, digital download, educational print, muslim kids gift","Book · Kitab — كتاب. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",7,25,16,22
RL-DIA-001,Diaspora Identity,"Arab Heart, Global Journey",قلبي عربي,"Arab Heart, Global Journey Printable Wall Art, Arabic Diaspora Identity Digital Download, قلبي عربي, Bilingual Arabic English Print","arabic word art, arab diaspora, arabic identity, bilingual print, arabic wall art, printable art, digital download, arabic calligraphy, heritage gift, arab pride","Arab Heart, Global Journey — قلبي عربي. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-DIA-002,Diaspora Identity,Proud of Both Worlds,بين ثقافتين,"Proud of Both Worlds Printable Wall Art, Arabic Diaspora Identity Digital Download, بين ثقافتين, Bilingual Arabic English Print","arabic word art, arab diaspora, arabic identity, bilingual print, arabic wall art, printable art, digital download, arabic calligraphy, heritage gift, arab pride","Proud of Both Worlds — بين ثقافتين. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-DIA-003,Diaspora Identity,I Carry My Roots With Me,أحمل جذوري معي,"I Carry My Roots With Me Printable Wall Art, Arabic Diaspora Identity Digital Download, أحمل جذوري معي, Bilingual Arabic English Print","arabic word art, arab diaspora, arabic identity, bilingual print, arabic wall art, printable art, digital download, arabic calligraphy, heritage gift, arab pride","I Carry My Roots With Me — أحمل جذوري معي. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-DIA-004,Diaspora Identity,My Identity Is My Strength,هويتي قوتي,"My Identity Is My Strength Printable Wall Art, Arabic Diaspora Identity Digital Download, هويتي قوتي, Bilingual Arabic English Print","arabic word art, arab diaspora, arabic identity, bilingual print, arabic wall art, printable art, digital download, arabic calligraphy, heritage gift, arab pride","My Identity Is My Strength — هويتي قوتي. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
RL-DIA-005,Diaspora Identity,From One Home to Another,من وطن إلى وطن,"From One Home to Another Printable Wall Art, Arabic Diaspora Identity Digital Download, من وطن إلى وطن, Bilingual Arabic English Print","arabic word art, arab diaspora, arabic identity, bilingual print, arabic wall art, printable art, digital download, arabic calligraphy, heritage gift, arab pride","From One Home to Another — من وطن إلى وطن. An original bilingual Arabic–English design from Huroof. The Arabic is typeset from a classical Naskh typeface and checked for accuracy by a native reader. Available as an instant digital download (print at home up to A2, 300 DPI) or a premium print.

This design was created by me using design tools from my own original concept. No physical item ships for the digital listing.

Huroof حروف — Arabic art that speaks in two worlds.",8,25,16,22
